video_id,title,channel_id,publish_date,views
2kyS6SvSYSE,WE WANT TO TALK ABOUT OUR MARRIAGE,1,2017-11-13,748374
1ZAPwfrtAFY,The Trump Presidency: Last Week Tonight with John Oliver (HBO),2,2017-12-13,2418783
5qpjK5DgCt4,"Racist Superman | Rudy Mancuso, King Bach & Lele Pons",3,2017-01-12,3191434
puqaWrEC7tY,Nickelback Lyrics: Real or Fake?,4,2017-02-02,343168
d380meD0W0M,I Dare You: GOING BALD!?,5,2017-11-12,2095731
gHZ1Qz0KiKM,2 Weeks with iPhone X,6,2017-11-16,119180
39idVpFF7NQ,Roy Moore & Jeff Sessions Cold Open - SNL,7,2017-03-30,2103417
nc99ccSXST0,5 Ice Cream Gadgets put to the Test,8,2017-09-02,817732
jr9QtXwC9vc,The Greatest Showman | Official Trailer 2 [HD] | 20th Century FOX,9,2017-10-11,826059
TUmyygCMMGA,Why the rise of the robots wonâ€™t mean the end of work,10,2017-07-11,256426
9wRQljFNDW8,Dion Lewis' 103-Yd Kick Return TD vs. Denver! | Can't-Miss Play | NFL Wk 10 Highlights,11,2018-03-05,81377
VifQlJit6A0,(SPOILERS) 'Shiva Saves the Day' Talked About Scene Ep. 804 | The Walking Dead,12,2017-01-30,104578
5E4ZBSInqUU,Marshmello - Blocks (Official Music Video),13,2017-11-11,687582
GgVmn66oK_A,Which Countries Are About To Collapse?,14,2017-12-12,544770
TaTleo4cOs8,SHOPPING FOR NEW FISH!!!,15,2017-10-20,207532
kgaO45SyaO4,The New SpotMini,16,2018-04-15,75752
ZAQs-ctOqXQ,One Change That Would Make Pacific Rim a Classic,17,2016-08-31,295639
YVfyYrEmzgM,How does your body know you're full? - Hilary Coller,18,2017-06-02,78044
eNSN6qet1kE,HomeMade Electric Airplane,19,2017-05-24,97007
